tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Thu Jan 19 18:43:11 +0000 2023,1042040671421558789,adin_dan,"ממשלה פושעת ובלתי חוקית בעליל רוצה לשלול מכם את חופש הביטוי, המחאה וההפגנה. מישהו צריך עוד סיבה בשביל להגיע לקפלן בשבת? לפני שנספיק למצמץ — לא תהיה עוד דמוקרטיה. ישמידו את בג״צ והופ —  אין יותר חופש ביטוי והפגנה https://t.co/HOU7lLObGQ",https://twitter.com/adin_dan,Dan Adin דן עדין,https://twitter.com/adin_dan/status/1616144253260042242,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Thu Jan 19 18:03:41 +0000 2023,848511075935039492,kann_news,"חשיפת כאן חדשות | היוזמה להגבלת הפגנות: 1,500 שקל קנס למפגינים, אישור לכל הפגנה מעל 100 איש והרחבת סמכויות שוטרים. @moyshis עם כל הפרטים
#חדשותהערב https://t.co/ThRn8PLsuB",https://twitter.com/kann_news,כאן חדשות,https://twitter.com/kann_news/status/1616134315502338059,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 20:42:50 +0000 2023,1176368459673939968,BitanDor,"אני רוצה לענות פה לכל מי ששואל אותי ""איזה איזונים ובלמים יישארו על הכנסת והממשלה לאחר רפורמת לוין?""

בקיצור - דומה מאוד למה שהיה פה בימי ממשלותיהם של בן-גוריון, משה שרת, גולדה ובגין. הייתה לנו דמוקרטיה גם לפני שהגיע אהרן ברק וביצע הפיכה חד צדדית.
אנחנו מחזירים מצב לקדמותו.
כנסו&gt;&gt;",https://twitter.com/BitanDor,Dor Bitan דור ביתן,https://twitter.com/BitanDor/status/1615811978412584962,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Thu Jan 19 11:20:43 +0000 2023,1042040671421558789,adin_dan,היוזמות למנות כל מיני בני משפחה של דרעי לשרים במקומו הן לא פחות מהזויות: משרות ציבוריות במדינה דמוקרטית (וישראל היא *עדיין* דמוקרטיה) שייכות לציבור ולא למשפחה ספציפית. למשפחת דרעי אין זכויות קניין במשרד הפנים. המדובר בטרלול-על שרק ממחיש לאיזה תהום הגענו,https://twitter.com/adin_dan,Dan Adin דן עדין,https://twitter.com/adin_dan/status/1616032902671732736,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 14:17:57 +0000 2023,792820132355665924,cohen_meirav,"אם נתניהו לא יפטר את דרעי בהתאם לפסיקת בג""צ, זה יוביל לאנרכיה.

אם הממשלה לא מכבדת את החוק, למה שאזרחי ישראל יכבדו אותו?

ללא שוויון בפני החוק אין דמוקרטיה.",https://twitter.com/cohen_meirav,מירב כהן - Meirav Cohen,https://twitter.com/cohen_meirav/status/1615715117831798786,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 14:54:36 +0000 2023,390702143,regev_miri,"סיעת בג״צ החליטה באופן שרירותי כי האזרחים שהצביעו בבחירות, לא סבירים אל מול 10 שופטים שבחרו את עצמם!
זו לא דמוקרטיה. זו עריצות המיעוט.
ביהמ""ש הבהיר שאינו מעוניין בפשרות.
ביהמ״ש בקרב מאסף על שימור הכוח של האליטה.
הם עדיין לא הפנימו שהעם אמר את דברו.
את זה בדיוק באנו לשנות ונשנה! https://t.co/xwIUTmHZnw",https://twitter.com/regev_miri,מירי רגב,https://twitter.com/regev_miri/status/1615724342515580931,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 05:56:59 +0000 2023,39735132,GONENB1,"חבר כנסת מאיים באלימות כלפי בג""ץ כדי לוודא שבג""ץ מיישר קו עם עבריין מורשע.
הם עוד קוראים לזה דמוקרטיה?",https://twitter.com/GONENB1,Gonen Ben Itzhak גונן בן יצחק,https://twitter.com/GONENB1/status/1615589046910128128,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 10:48:12 +0000 2023,4010379219,giladzw,"מהנעשה בקבוצת עורכי הדין המתנגדים לרפורמה של לוין:

*לסרב להעניק שירות משפטי לח""כים התומכים ברפורמה (לפחות מודה שזו ""מחשבת קצת קיצונית"")

*להחרים עורכי דין שבכל זאת יעניקו שירות משפטי לח""כים שבעד הרפורמה

*להטיל חרם כללי על עו""ד שיעזו לתמוך ברפורמה

דמו-דמו-דמוקרטיה! https://t.co/PlmzRkPobJ",https://twitter.com/giladzw,Gilad Zwick,https://twitter.com/giladzw/status/1615662333275111426,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Tue Jan 17 18:05:28 +0000 2023,915228174480547840,GadiTaub1,"השמאל: דמוקרטיה זה לא שלטון הרוב, זה זכויות המיעוט ולכן הממשלה הימנית שניצחה בבחירות צריכה להוציא לפועל את רצון המיעוט שהפסיד. 
או שנשרוף את המועדון.

יאללה. תתבגרו.",https://twitter.com/GadiTaub1,Gadi Taub שומר סף,https://twitter.com/GadiTaub1/status/1615409986770960384,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
Wed Jan 18 16:15:43 +0000 2023,1382372095422836739,Yasminsfridman,באיזו דמוקרטיה תפקיד שר עובר בירושה מאב לבנו?,https://twitter.com/Yasminsfridman,יסמין סאקס פרידמן,https://twitter.com/Yasminsfridman/status/1615744757593931778,2023-04-20T13:06:54.382Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-01-20%20since%3A2023-01-10&src=typed_query&f=live
