tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Sat Apr 08 18:49:53 +0000 2023,4664996908,keslasy,שוקולד מקופלת  https://t.co/PqDoX8Mzn5,https://twitter.com/keslasy,חיים אלקסלסי,https://twitter.com/keslasy/status/1644774580555317248,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sun Apr 09 13:25:45 +0000 2023,737977051249037312,mossi_raz,@TallyGotliv באמת השוואה מופרכת בין הפגנה בעד דמוקרטיה בישראל לבין הדלקת מדורות במאחז עברייני בשטח כבוש,https://twitter.com/mossi_raz,Mossi Raz | מוסי רז | موسي راز 🟣,https://twitter.com/mossi_raz/status/1645055397919637514,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sat Apr 08 13:01:23 +0000 2023,125292842,OritGalili,"לצפות בסרטון ולבכות. פשוט לבכות. אנחנו לבד. רק בכוחנו תהיה פה דמוקרטיה. יואב הורוביץ, שהיה המנכ""ל של ביבי בתחילת שנות הטירוף מפציר בכולם לצאת לרחובות, ""ביבי לא ירפה עד שיראה את מערכת המשפט מרוסקת מלא מלא"". 
צאו להפגין https://t.co/SikMdEgaTf",https://twitter.com/OritGalili,Orit Galili-Zucker - אורית גלילי-צוקר,https://twitter.com/OritGalili/status/1644686879625805825,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sat Apr 08 15:25:35 +0000 2023,1245335860469469187,GiliLevy_,"עם עו״ד רוני בר און, 
שר האוצר והפנים לשעבר מהליכוד, בהפגנה שלנו היום ברחובות.

ביחד נעצור את הדיקטטורה! ✊🏻🇮🇱

לא מפסיקיםות להפגין עד שננצח, רק #דמוקרטיה https://t.co/jhnqeD0lda",https://twitter.com/GiliLevy_,Gili Levy 🇮🇱 גילי לוי,https://twitter.com/GiliLevy_/status/1644723169528279046,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sat Apr 08 22:47:15 +0000 2023,1103041387136778246,noybarb,"איך אפשר למחות נגד ראש הממשלה הנבחר, זה שנבחר שוב ושוב לעמוד בראש המפלגה הכי נבחרת, ולצעוק ״דמוקרטיה״? תצעקו ״אתם אזרחים סוג ב׳ טיפשים והקול שלכם לא שווה״, תצעקו ״גנבתם לנו את המדינה״, תצעקו ״אריסטוקרטיה״. https://t.co/GAIGHBpXEN",https://twitter.com/noybarb,נוי בר Noy Bar,https://twitter.com/noybarb/status/1644834319578411008,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sat Apr 08 18:21:32 +0000 2023,198436076,Ron_Huldai,"אתמול הייתי בזירת הפיגוע בטיילת והיום אני מפגין בקפלן. 

המציאות מורכבת.
בלי דמוקרטיה לא יהיה לנו ביטחון. אסור להזניח אף חזית. https://t.co/XATMzYyW55",https://twitter.com/Ron_Huldai,רון חולדאי,https://twitter.com/Ron_Huldai/status/1644767449013796865,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sun Apr 09 07:43:14 +0000 2023,2988973454,RanBaratz,"מחשבה לעת פסח, חמץ ודמוקרטיה.
אני מאלו שדווקא מחבבים דמוקרטיה ישירה.
אבל קצת מצחיקים אלו שטוענים שבישראל הפוליטיקה כושלת, כי יש נושאים שבהם רוב בציבור לא מתבטא בכנסת (לרוב זה נטען בסוגיות דת ומדינה).

למה מצחיק? כי זה לא באג, זה פיצ׳ר של הפרלמנטריזם. זה ריסון של ״עריצות הרוב״. &gt;&gt;",https://twitter.com/RanBaratz,ranbaratz,https://twitter.com/RanBaratz/status/1644969203743555584,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Fri Apr 07 09:17:11 +0000 2023,1550239293435793408,ShikmaBressler,"שמשהו ימשוך לו בדש של הבגד
כדי שיבין שבלי דמוקרטיה אין לו עם
ובטח ובטח שבלי דמוקרטיה אין לו צבא עם. https://t.co/hFkCP5e80F",https://twitter.com/ShikmaBressler,שקמה ברסלר Shikma Bressler,https://twitter.com/ShikmaBressler/status/1644268068091092992,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sun Apr 09 17:27:12 +0000 2023,2579273666,itay_almog_bar,"השתתפתי קודם בדוכני הידברות דמוקרטיה בפארק ענבה במודיעין - שבימי חג מכיל כ 90% משפחות חרדיות מרחבי הארץ כדי לדבר על מה שקורה במדינה, לשמוע מה חושבים אנשים שהצביעו ברובם לקואליציה ולתת מידע שקצת עושה סדר. 
המסקנה המרכזית שלי היא שיש מחסור במידע בנושא בקרב האוכלוסיה ויש גם &gt; https://t.co/drzIt4UC5P",https://twitter.com/itay_almog_bar,🇮🇱 איתי אלמוג-בר Itay Almog Bar,https://twitter.com/itay_almog_bar/status/1645116162760425475,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
Sun Apr 09 09:34:22 +0000 2023,2316895628,galiagruengard,"1/את המילואימניקים של הדור שלי הם כנראה יקבלו אבל לא את הסדירניקים של הדור הבא.

ממשלת ימין על מלא הבינה היטב שמחאת המילואימניקים, שהיקפה גדול בהרבה מהידוע, היא נשק יום הדין, שלא קיים בשום דמוקרטיה אחרת שקרסה. 

הם ידעו שמילואימניקים הם הקש שישבור את הכל.",https://twitter.com/galiagruengard,Galia Shmilovich Gruengard גליה שמילוביץ,https://twitter.com/galiagruengard/status/1644997168430735361,2023-04-20T13:23:13.838Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-10%20since%3A2023-04-01&src=typed_query&f=live
