tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Wed Feb 08 12:29:37 +0000 2023,909382373078380546,roznaiy,"פשוט בושה. צריך להזכיר לחברי/ות הכנסת שהם יושבים שם כחברי האסיפה המכוננת של ישראל, בשינוי החוקתי הכי דרמטי מאז קום המדינה. בכובע זה עליהם/ן לשקול שיקולים רחבים וארוכי טווח. בכל דמוקרטיה מתוקנת אחרת לא היה עולה על הדעת לעשות שינוי כזה בלי דיון, מחקר וחשיבה מסודרים.",https://twitter.com/roznaiy,יניב רוזנאי Yaniv Roznai,https://twitter.com/roznaiy/status/1623298001438384129,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Thu Feb 09 19:36:03 +0000 2023,28371374,Shaulirena,"ענבר טויזר:

פעיל ימין שנכנס להפגנה נגד ההפיכה המשפטית, איים על מפגינים ש""יפוצץ להם את הפנים"". 

אחת המפגינות, ניגשה לקצין משטרה ואמרה לו: ""שמעת מה הוא אמר? הוא מאיים עלינו"". הקצין בתגובה: ""דמוקרטיה, לא?""

🤯🤬 https://t.co/u4fy6OQ0rd",https://twitter.com/Shaulirena,🏳️‍🌈🏴ShAuLi,https://twitter.com/Shaulirena/status/1623767704606834688,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Wed Feb 08 21:25:03 +0000 2023,2294655952,avigrin10,"ואז חולדאי דיבר על דמוקרטיה. זהו דוקטור, זה כל מה שאני זוכר https://t.co/ZgHrFSRdkq",https://twitter.com/avigrin10,אברהם גרינצייג,https://twitter.com/avigrin10/status/1623432749146054659,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Wed Feb 08 07:56:42 +0000 2023,173418313,EldadYaniv,"אני אומר למחנה שלי:

כשאנחנו נאבקים בעד דמוקרטיה -
שימוש ברוגלות נגד ישראלים היה צריך להעיף לנו את הסכך. 

▶️ https://t.co/HuL8taXCF5",https://twitter.com/EldadYaniv,Eldad Yaniv 🇮🇱 אלדד יניב,https://twitter.com/EldadYaniv/status/1623229318833790976,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Wed Feb 08 16:26:37 +0000 2023,16324095,harnevo,"גלית דיסטל היום בגלי צה״ל 👇.

אנחנו על רטוריקה פאשיסטית מלא מלא (וזה בעיקר כי #אסור_להשוות אז נעצור כאן): השמאל ממומן על ידי כסף זר בעיקר גרמני או איראני שמוציא אנשים לרחובות.

שלב חדש בהסתה.
דלק של שנאה ברחובות…

https://t.co/GryA7JleAU",https://twitter.com/harnevo,Ran Harnevo,https://twitter.com/harnevo/status/1623357644772634624,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Thu Feb 09 06:54:44 +0000 2023,1245818725678358529,rozolyo,"עכשיו בביה""ס היסודי ""יהודה המכבי"" בתל אביב - מחאת התלמידים נגד ההפיכה המשטרית: ""אין חינוך בלי דמוקרטיה"". איזה אלופים! 💙 כבוד לילדים ולהורים! @mhtalmidim2023 https://t.co/3RNzMauf68",https://twitter.com/rozolyo,Nava Rozolyo🤸🏻‍♀️🤭🥑🌎,https://twitter.com/rozolyo/status/1623576111811534851,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Thu Feb 09 14:57:29 +0000 2023,3241178408,Nifla_Po,"בואו פיד, נוסעים להשתלמות של 24 שעות במדינה שבה המנהיג שלה מימש את הרצון שלו להיות שליט יחיד במסווה של דמוקרטיה והוריד את טוויטר מהאוויר כי לא באה לו טוב ביקורת https://t.co/YcITtTHpBE",https://twitter.com/Nifla_Po,מר כ.,https://twitter.com/Nifla_Po/status/1623697602712576001,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Wed Feb 08 18:07:40 +0000 2023,1550239293435793408,ShikmaBressler,"המפולת החלה. עוד ועוד חברות מוציאות את הכסף שלהן מהמדינה. 
הפשיסטים ימשיכו להאשים אותנו. זה מה שפשיסטים עושים. בעליבות האופיינית. אבל האמת ברורה, אם ישראל לא תהיה דמוקרטיה, לא תהיה ישראל. 
נלחם. ואין לנו ברירה אלא לנצח.",https://twitter.com/ShikmaBressler,שקמה ברסלר Shikma Bressler,https://twitter.com/ShikmaBressler/status/1623383073176821779,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Thu Feb 09 20:25:51 +0000 2023,1059789854899355649,kumiiisrael,הדגלים השחורים בתגובה להודעת בן גביר: ״מצפים מהמפכ״ל לסרב לדרישת בן גביר לזמן לשיחת נזיפה במפקד מחוז י-ם. מדובר בעבריין שהתבלבל וחושב שהוא אחראי על חופש ההפגנה. לשר אסור על פי חוק להתערב בעבודת המשטרה. ישראל היא דמוקרטיה ונשמור עליה ככזאת״,https://twitter.com/kumiiisrael,קומי ישראל 🇮🇱🏳️‍🌈👊,https://twitter.com/kumiiisrael/status/1623780235006119939,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
Thu Feb 09 18:38:51 +0000 2023,207631265,yaelavnery,"תל אביב אהובתי. דמוקרטיה! 
צילום: גיא יחיאלי https://t.co/eAZEx1cfXb",https://twitter.com/yaelavnery,yaeli avnery,https://twitter.com/yaelavnery/status/1623753309227040771,2023-04-20T13:11:04.007Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-02-10%20since%3A2023-02-01&src=typed_query&f=live
