tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Mon Feb 27 05:11:06 +0000 2023,51563363,rothmar,"@Nadav_Eyal דיון מאוד מעניין, רק שכדאי לעשות אותו אחרי ששומעים את ההרצאה שעוסקת במדע המדינה, ולא אחרי שרואים קטע חתוך שאפילו אתה יכול לראות שחותכים בו משפטים באמצע.

והיסטורית כמובן, דמוקרטיה קדמה לליברליזם ביום יומיים.

או בכמה אלפי שנים ליתר דיוק.",https://twitter.com/rothmar,שמחה רוטמן - Simcha Rothman,https://twitter.com/rothmar/status/1630073012975271937,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 05:29:36 +0000 2023,51563363,rothmar,"בן כספית איננו עיתונאי. מוצג 2.
@BenCaspit

עלבון לכל כלי תקשורת בו הוא כותב או משדר.

אז אחרי שחתך באמצע כדי שלא ישמעו את המילים ""זה לא עובד ככה"".

הוא גם חותך משפטים מההתחלה כדי להפוך דיון בהגדרת המושג דמוקרטיה, לדיון תמיכה או התנגדות בהונגריה.

לא מאמינים?

צפו: https://t.co/9taYLWIt6s",https://twitter.com/rothmar,שמחה רוטמן - Simcha Rothman,https://twitter.com/rothmar/status/1630440056145027072,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 10:21:48 +0000 2023,1642922492,noam_fathi,"ישראל היא לא דמוקרטיה ושלא יימכרו לכם שהיא כזאת, אם הייתם עוקבים אחרי משפט נתניהו רק בשבוע האחרון זה טקסטים שלקוחים ממשפט באיראן.
לחקור את התופרים!",https://twitter.com/noam_fathi,noamfathi,https://twitter.com/noam_fathi/status/1630513593874632704,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 08:03:53 +0000 2023,1042040671421558789,adin_dan,"העיתון הכלכלי החשוב בעולם רואה מרחוק את התמונה הגדולה ועושה את האבחנה המתבקשת והמדוייקת: האם ישראל תהיה מדינה חשוכה בשליטת הדת דוגמת איראן ואפגניסטן או דמוקרטיה מתקדמת בשליטת החוק. זה כל כך פשוט. תבחרו באיזה צד אתם
 https://t.co/lRYXrXl4fK",https://twitter.com/adin_dan,Dan Adin דן עדין,https://twitter.com/adin_dan/status/1630478886092898304,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Mon Feb 27 17:02:07 +0000 2023,60260247,AlonLeeGreen,"אלפים בת""א, חוסמים את צומת עזריאלי, מתקדמים לאיילון. אין דבר כזה דמוקרטיה עם עם כיבוש. גם לישראלים וגם לפלסטינים מגיע ביטחון. https://t.co/10HSKF12dB",https://twitter.com/AlonLeeGreen,Alon-Lee Green - ألون-لي جرين - אלון-לי גרין 🟣,https://twitter.com/AlonLeeGreen/status/1630251948325699585,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Mon Feb 27 09:53:44 +0000 2023,845153869860528129,arbelaue,"לא צריך להיות דל""פ: רוטמן צודק. דמוקרטיה *לא* באה עם שק של ערכים שאפשר להכניס ולהוציא ממנו מה שבא לכם לפי מה שנוח. דמוקרטיה היא שלטון הרוב, חייבים לקבל את זכותו לבחור את חוקי המדינה, גם אם הם לא כרצונכם. זו לא דריסת המיעוט אלא מצב סביר במדינה לא הומוגנית, בניגוד לאירופה.
@rothmar",https://twitter.com/arbelaue,ארבלאו צייד הטונות 🇵🇹,https://twitter.com/arbelaue/status/1630144141047808000,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 20:40:03 +0000 2023,1059789854899355649,kumiiisrael,"צפו: הקהל בהופעה של תיסלם, בסיום השיר ״פרצופה של המדינה״, פרצו בקריאות ״דמוקרטיה״. איזה עוצמתי! https://t.co/VxmJecIgNN",https://twitter.com/kumiiisrael,קומי ישראל 🇮🇱🏳️‍🌈👊,https://twitter.com/kumiiisrael/status/1630669178507083777,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 21:15:36 +0000 2023,1214663527,omlavi,"בהיכל התרבות בהופעה של תיסלם והפילהרמונית הערב. אחרי השיר ״פרצופה של המדינה״ הקהל נעמד על רגליו באופן חריג באמצע ההופעה ומוחא כפיים בהתרגשות, ואז בספונטניות מתחיל בקריאות ״דמוקרטיה״. המחאה היא בכל מקום ואצל כל אחד ולכן תנצח! 👊🏼 תודה @yairnitzani https://t.co/i3X8iHdVHy",https://twitter.com/omlavi,Omri Lavi 🇮🇱🇺🇦,https://twitter.com/omlavi/status/1630678126211596288,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 16:52:28 +0000 2023,737977051249037312,mossi_raz,"המחאה מתפשטת
קרעי וברקת באו אתמול לברצלונה לחנוך את הביתן הישראלי בתערוכת המובייל
 נציגי חברות עמדו וצעקו ״בושה״ והקרינו על המסכים את המילים ״דמוקרטיה״ ו""בושה""
כל הכבוד",https://twitter.com/mossi_raz,Mossi Raz | מוסי רז | موسي راز 🟣,https://twitter.com/mossi_raz/status/1630611906070298643,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
Tue Feb 28 13:52:16 +0000 2023,3089415056,aviadglickman,"יו""ר ועדת החוקה, @rothmar ממשיך להתעמר בעובדי ציבור נאמנים שכל ""חטאם"" הוא שהעזו להגיד את עמדתם ודעתם . רוטמן שיכור הכוח מונע משנאה עזה כלפי כל מי שלא חושב כמוהו. לא פלא שהוא נגד דמוקרטיה. בושה וחרפה שאלו נבחרי הציבור של כנסת ישראל",https://twitter.com/aviadglickman,aviad glickman,https://twitter.com/aviadglickman/status/1630566558341689345,2023-04-20T13:14:28.223Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-03-01%20since%3A2023-02-20&src=typed_query&f=live
