tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Thu Mar 30 19:04:38 +0000 2023,1525374692789452801,lililshel,"ואוו ואוו ואוו אין מילים מה שהיה פה.
עכשיו שמעו משהו,
עזבו עמי אשד והקודקודים,
השוטרים איתנו על מלא,מגב איתנו על מלא.
לא תהיה פה הפיכה!!!!!!
ישראל בסוף תהפוך להיות דמוקרטיה אמיתית.
העם•רוצה•רפורמה•משפטית (אין לי כבר קול)https://t.co/LkPQIimHBK",https://twitter.com/lililshel,•Liel(S)💙🇮🇱•,https://twitter.com/lililshel/status/1641516804735377410,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 03:55:12 +0000 2023,47889491,elisulam,"*חשבתם שניעלם⁉️*

*לא הלכנו לשומקום*. ב-72 שעות האחרונות אנחנו מקבלים סרטים מכל רחבי הארץ. 

*המחאה חיה, בועטת, ומוכנה לכל התפתחות* 🇮🇱

30 שניות של דמוקרטיה לפני השינה 🛏️

*ללט תקוות* 💪

לא מפחדים מדרך ארוכה ❤️

*תקווה 36 מתחילה לתפוס תאוצה &gt;&gt;* https://t.co/yAB7XzwlZ6 https://t.co/4swlsKTiNB",https://twitter.com/elisulam,Eli Sullam,https://twitter.com/elisulam/status/1641650323956563970,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 12:27:22 +0000 2023,45992579,ArielaGoesFake,"השבוע מצאתי את עצמי בשיעור אזרחות לשתי עמיתות לעבודה. עברנו על חוקי יסוד, חוקים רגילים, רוב מיוחס ולמה דמוקרטיה אינה שלטון הרוב. 
אני שמחה להודיע שהן ראו את האור ובבחירות הבאות יצביעו בן גביר, כי העיקר לזיין את הערבים והסמולנים.",https://twitter.com/ArielaGoesFake,Ariela🪷,https://twitter.com/ArielaGoesFake/status/1641779216021692416,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 07:04:26 +0000 2023,1379713510528200706,GalitDistel,"אנחנו אומרים שיוויון - אתם שומעים דיכוי נשים.
אנחנו אומרים גיוון - אתם שומעים רדיפת להטבי""ם.
אנחנו אומרים דמוקרטיה - אתם שומעים דיקטטורה.
אתם לא מקשיבים לנו.
אתם לא מכירים אותנו.
אתם מאמינים לתסריטים הגרועים ביותר עלינו כי האופציה שהדומה ביננו רב על השונה, פשוט לא עולה על דעתכם. https://t.co/6hPiuVrGmd",https://twitter.com/GalitDistel,Galit Distel Atbaryan - גלית דיסטל אטבריאן,https://twitter.com/GalitDistel/status/1641697947694911488,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Wed Mar 29 10:34:06 +0000 2023,1107190434,yaronavraham,תת רמה | מנכ״ל קרן השקעות פרימה דני צבר תקף הבוקר את השר אופיר אקוניס בחוף בתל אביב. אקוניס יגיש תלונה במשטרה https://t.co/VSuKhsf2Yz,https://twitter.com/yaronavraham,Yaron Avraham ירון אברהם,https://twitter.com/yaronavraham/status/1641025935569715201,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 17:06:32 +0000 2023,27876223,EynatGuez,מחר בקפלן. שבוע 13 ברציפות וחשוב לאין שיעור. לא מפסיקים לצעוק דמוקרטיה עד שלא מחזירים בחזרה את הדמוקרטיה https://t.co/34FH8y8p6I,https://twitter.com/EynatGuez,Eynat Guez,https://twitter.com/EynatGuez/status/1641849468600320014,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 11:27:20 +0000 2023,60260247,AlonLeeGreen,"דמוקרטיה? לא כשיש שלטון צבאי על מיליוני בני אדם.

זה מה שקורה עכשיו בחווארה: תושבי  העיירה יצאו לכביש הראשי להפגין אחרי התפילה. אבל תחת השליטה הצבאית הישראלית לפלסטינים פשוט אין זכות להפגין, והחיילים הישראלים מפזרים באלימות תושבים ביישוב שהוא לא ישראלי ולא מתגוררים בו ישראלים. https://t.co/wXcbD0Bljb",https://twitter.com/AlonLeeGreen,Alon-Lee Green - ألون-لي جرين - אלון-לי גרין 🟣,https://twitter.com/AlonLeeGreen/status/1641764106188341248,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Thu Mar 30 18:19:54 +0000 2023,1429173222847795200,rotem_sella,עוד תהיה פה דמוקרטיה. עם ישראל חי https://t.co/dDCM6vIQpA,https://twitter.com/rotem_sella,Rotem M.Sella | רותם מ.סלע 🇮🇱,https://twitter.com/rotem_sella/status/1641505543880597518,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 04:40:54 +0000 2023,1363549185681858562,costa1black,"מלחמה היא שלום.
חירות היא עבדות.
בערות היא כוח.
דיקטטורה היא דמוקרטיה.

שמאל, תלמדו איך עושים גזלייטינג. https://t.co/urMvbvqszD",https://twitter.com/costa1black,Costa Black 🇮🇱👊,https://twitter.com/costa1black/status/1641661823706447873,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
Fri Mar 31 11:03:06 +0000 2023,838469080059375616,tamnuniter,"שיכולה לעמוד מול מרד של הצבא, המשטרה, והשב""כ; מול שיתוק מערכת הבריאות; השבתת המגזר העסקי; השבתת המגזר הפיננסי; לחץ של גורמים בינלאומיים; וכל זה כשאנרכיה משתוללת ברחובות ואין מי שמנסה לעצור אותה, אלא להפך.

המשמעות היא שהכל נגמר.
אין בישראל דמוקרטיה ולא מראית עין של דמוקרטיה &gt;&gt;&gt;",https://twitter.com/tamnuniter,התמנון האיטר,https://twitter.com/tamnuniter/status/1641758009939435524,2023-04-20T13:21:53.318Z,https://twitter.com/search?q=%20%3A%20min_faves%3A100%20%D7%93%D7%9E%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%94%20until%3A2023-04-01%20since%3A2023-03-20&src=typed_query&f=live
